case_id,category,question,rank,retrieval_mode,keyword_score,vector_rank,matches_expected_source,expected_sources,source_path,title,section,content_token_count,question_token_overlap,expected_keyword_overlap,response_token_support,expected_keyword_hits,content_excerpt
tita_furgon_refrigerado_precio,precios,¿Cuánto cuesta la TITA S2 300 AA con furgón refrigerado?,2,keyword,25,,False,Precios_Vehiculos_Actualizados.TITA S2.TITA S2 300 AA con Furgón Refrigerado,vehiculos_detalles.TITA S2 300.versiones_disponibles.TITA S2-300 con Furgón Refrigerado,Version TITA S2-300 con Furgón Refrigerado,vehiculos_detalles,18,0.4286,0.0,0.5,,autonomía: 300 Km aire acondicionado: Opcional accesorio: Furgón refrigerado descripcion accesorio: Accesorio que convierte la pickup en furgón cerrado con sistema de refrigeración
tita_furgon_refrigerado_precio,precios,¿Cuánto cuesta la TITA S2 300 AA con furgón refrigerado?,3,vector,,1,True,Precios_Vehiculos_Actualizados.TITA S2.TITA S2 300 AA con Furgón Refrigerado,Precios_Vehiculos_Actualizados.TITA S2,Precios TITA S2,precios,78,1.0,1.0,0.7083,23.632.00 | usd,"TITA S2-300: precio: USD 16.981,25 disponibilidad: ENTREGA INMEDIATA TITA S2-300 AA: precio: USD 17.731,25 disponibilidad: ENTREGA INMEDIATA TITA S2 300 AA con Furgón: precio: USD 20.632,00 descripcion: TITA S2 300 AA + accesorio furgón aclaración: El preci..."
tita_furgon_refrigerado_precio,precios,¿Cuánto cuesta la TITA S2 300 AA con furgón refrigerado?,4,vector,,5,True,Precios_Vehiculos_Actualizados.TITA S2.TITA S2 300 AA con Furgón Refrigerado,Precios_Vehiculos_Actualizados.TITA S2.TITA S2 300 AA con Furgón,Precio TITA S2 300 AA con Furgón,precios,27,0.8571,0.5,0.5833,usd,"precio: USD 20.632,00 descripcion: TITA S2 300 AA + accesorio furgón aclaración: El precio 20.632,00 se obtiene de sumar a 17.731,25 USD (precio de TITA S2 300 AA) el accesorio furgón que cuesta 2.900 USD"
chiki_autonomia_velocidad,vehiculos,¿Qué autonomía y velocidad máxima tiene el CHIKI de litio?,1,keyword,10,,False,vehiculos_detalles.CHIKI,Precios_Vehiculos_Actualizados.CHIKI.CHIKI-L (110KM) LITIO,Precio CHIKI-L (110KM) LITIO,precios,7,0.0,0.0,0.0,,"precio: USD 9.900,00 disponibilidad: ENTREGA A 60 DÍAS"
chiki_autonomia_velocidad,vehiculos,¿Qué autonomía y velocidad máxima tiene el CHIKI de litio?,2,keyword,9,,True,vehiculos_detalles.CHIKI,vehiculos_detalles.CHIKI,Ficha tecnica CHIKI,vehiculos_detalles,119,1.0,1.0,1.0,110km | 45 | kmh,"modelo disponible: nombre: CHIKI-L (110KM) LITIO descripcion: Versión con batería de litio del CHIKI, ofreciendo mayor autonomía y ciclos de vida, ideal para desplazamientos urbanos. NOTA: CHIKI-G ha sido discontinuado. parametros basicos: puertas: 2 bateri..."
chiki_autonomia_velocidad,vehiculos,¿Qué autonomía y velocidad máxima tiene el CHIKI de litio?,3,vector,,1,False,vehiculos_detalles.CHIKI,todos_los_vehiculos_disponibles.CHIKI,Disponibilidad CHIKI,disponibilidad_vehiculos,9,0.4,0.3333,0.1304,110km,modelos disponibles: - CHIKI-L (110KM) LITIO disponibilidad: ENTREGA A 60 DÍAS
chiki_autonomia_velocidad,vehiculos,¿Qué autonomía y velocidad máxima tiene el CHIKI de litio?,4,vector,,5,False,vehiculos_detalles.CHIKI,vehiculos_detalles.ACLARACION_IMPORTANTE,Ficha tecnica ACLARACION_IMPORTANTE,vehiculos_detalles,40,0.4,0.3333,0.2174,110km,"nota discrepancia web: IMPORTANTE: La información de este chatbot está más actualizada que la página web. Si encontrás diferencias entre lo que te digo y lo que ves en la web, la información correcta es la que te proporciono aquí. La página web se está actu..."
barre_tita_capacidad,vehiculos,¿Cuál es la capacidad de trabajo y el tanque de agua de la BARRE-TITA?,1,keyword,14,,True,vehiculos_detalles.BARRE-TITA,vehiculos_detalles.BARRE-TITA,Ficha tecnica BARRE-TITA,vehiculos_detalles,75,0.6667,1.0,1.0,150 | 15000 | litros | m2,"descripcion: Producto revolucionario que se destaca por su rendimiento excepcional en la limpieza de superficies, equipado con 8 motores eléctricos especializados. especificaciones: dimensiones: 1950x1900x1900mm peso neto: 900 KG ancho limpieza: 1900 mm cap..."
barre_tita_capacidad,vehiculos,¿Cuál es la capacidad de trabajo y el tanque de agua de la BARRE-TITA?,2,keyword,10,,False,vehiculos_detalles.BARRE-TITA,todos_los_vehiculos_disponibles.BARRE-TITA,Disponibilidad BARRE-TITA,disponibilidad_vehiculos,7,0.3333,0.0,0.0,,modelos disponibles: - BARRE-TITA disponibilidad: ENTREGA INMEDIATA
barre_tita_capacidad,vehiculos,¿Cuál es la capacidad de trabajo y el tanque de agua de la BARRE-TITA?,3,vector,,3,False,vehiculos_detalles.BARRE-TITA,Precios_Vehiculos_Actualizados.TITA 4P Cuadrilla,Precios TITA 4P Cuadrilla,precios,19,0.1667,0.0,0.0,,"TITA 4P-300: precio: USD 17.981,25 disponibilidad: ENTREGA INMEDIATA TITA 4P-300 AA: precio: USD 18.731,25 disponibilidad: ENTREGA INMEDIATA"
barre_tita_capacidad,vehiculos,¿Cuál es la capacidad de trabajo y el tanque de agua de la BARRE-TITA?,4,vector,,5,False,vehiculos_detalles.BARRE-TITA,Precios_Vehiculos_Actualizados.TITO S5,Precios TITO S5,precios,21,0.0,0.0,0.0,,"TITO S5-300: precio: USD 16.981,25 disponibilidad: Inmediata - Unidades limitadas TITO S5-300 AA: precio: USD 17.731,25 disponibilidad: Inmediata - Unidades limitadas"
garantia,posventa,¿Qué garantía tienen los vehículos?,1,keyword,10,,True,preguntas_frecuentes.mantenimiento,preguntas_frecuentes.mantenimiento[2],FAQ mantenimiento - ¿Qué garantía tienen los vehículos?,preguntas_frecuentes,39,1.0,1.0,0.614,ano | anos,"Pregunta: ¿Qué garantía tienen los vehículos? Respuesta: Todos nuestros vehículos cuentan con una garantía de fábrica de un (1) año, que cubre la reparación de fallas o desperfectos de fabricación. Además, brindamos la posibilidad de extender la garantía ha..."
garantia,posventa,¿Qué garantía tienen los vehículos?,2,keyword,5,,False,preguntas_frecuentes.mantenimiento,preguntas_frecuentes.general[1],FAQ general - ¿Dónde se fabrican los vehículos eléctricos de Coradir?,preguntas_frecuentes,23,0.5,0.0,0.2807,,"Pregunta: ¿Dónde se fabrican los vehículos eléctricos de Coradir? Respuesta: Nuestros vehículos se fabrican en Argentina, principalmente en nuestra planta de San Luis ubicada en Ruta 3 km 0.6 (Sur), San Luis Capital."
garantia,posventa,¿Qué garantía tienen los vehículos?,3,vector,,3,True,preguntas_frecuentes.mantenimiento,preguntas_frecuentes.mantenimiento[0],FAQ mantenimiento - ¿Qué mantenimiento requieren los vehículos eléctricos de Coradir?,preguntas_frecuentes,20,0.5,0.0,0.0702,,"Pregunta: ¿Qué mantenimiento requieren los vehículos eléctricos de Coradir? Respuesta: Nuestros vehículos requieren menos mantenimiento que los convencionales. Principalmente revisiones periódicas de los sistemas eléctricos, frenos y neumáticos."
garantia,posventa,¿Qué garantía tienen los vehículos?,4,vector,,5,False,preguntas_frecuentes.mantenimiento,preguntas_frecuentes.general[2],FAQ general - ¿Se puede circular por autopistas o rutas con estos vehículos?,preguntas_frecuentes,17,0.5,0.0,0.193,,"Pregunta: ¿Se puede circular por autopistas o rutas con estos vehículos? Respuesta: Estos vehiculos están diseñados solo para circulación urbana, no se recomienda su uso en autopistas o rutas"
reclamos_servicio,posventa,¿Dónde hago un reclamo o pido servicio técnico?,1,keyword,15,,True,contactos.telefono_movilidad_posventa | preguntas_frecuentes.mantenimiento,preguntas_frecuentes.mantenimiento[1],FAQ mantenimiento - ¿Dónde puedo realizar el servicio técnico de mi vehículo o efectuar un reclamo?,preguntas_frecuentes,23,0.6,1.0,0.6897,0266 | 5264805,"Pregunta: ¿Dónde puedo realizar el servicio técnico de mi vehículo o efectuar un reclamo? Respuesta: Contamos con una amplia red de servicio técnico en todo el país. Para más información, puede contactar al (0266) 5264805"
reclamos_servicio,posventa,¿Dónde hago un reclamo o pido servicio técnico?,2,keyword,5,,False,contactos.telefono_movilidad_posventa | preguntas_frecuentes.mantenimiento,condiciones_compra_entrega.servicio_entrega,condiciones compra entrega - servicio entrega,condiciones_compra_entrega,11,0.2,0.0,0.1379,,disponible: Servicio de entrega a domicilio disponible costo: Costo de flete no incluido en precio final
reclamos_servicio,posventa,¿Dónde hago un reclamo o pido servicio técnico?,3,vector,,3,True,contactos.telefono_movilidad_posventa | preguntas_frecuentes.mantenimiento,contactos.telefono_movilidad_posventa,contactos - telefono movilidad posventa,contactos,11,0.4,1.0,0.3448,0266 | 5264805,(0266) 5264805 (Se usa para llamar al área posventa y también se usa para servicio técnico y reclamos)
reclamos_servicio,posventa,¿Dónde hago un reclamo o pido servicio técnico?,4,vector,,5,False,contactos.telefono_movilidad_posventa | preguntas_frecuentes.mantenimiento,contactos.telefono_movilidad_ventas,contactos - telefono movilidad ventas,contactos,8,0.0,0.5,0.1379,0266,(0266) 4305996 (Se usa para llamar al área de ventas de movilidad eléctrica)
leasing_suspendido,comercial,¿Tienen leasing o alquiler con opción a compra?,1,keyword,8,,True,leasing_estado_actual,leasing_estado_actual.descripcion,leasing estado actual - descripcion,leasing_estado_actual,7,1.0,1.0,0.1842,alquiler | compra | leasing | opcion,La modalidad de leasing (alquiler con opción a compra) de CORADIR está suspendida.
leasing_suspendido,comercial,¿Tienen leasing o alquiler con opción a compra?,2,keyword,7,,True,leasing_estado_actual,leasing_estado_actual.detalle,leasing estado actual - detalle,leasing_estado_actual,14,0.5,0.5,0.3684,compra | leasing,"Si un cliente consulta por leasing, aclarar que esta modalidad quedó pausada y sugerir alternativas como compra al contado u opciones de pago disponibles."
leasing_suspendido,comercial,¿Tienen leasing o alquiler con opción a compra?,3,vector,,5,True,leasing_estado_actual,leasing_estado_actual.mensaje_principal,leasing estado actual - mensaje principal,leasing_estado_actual,7,0.25,0.25,0.1842,leasing,Actualmente no ofrecemos planes de leasing activos para ningún modelo.
beneficio_discapacidad,beneficios,¿Cómo es el trámite por beneficio de discapacidad?,1,keyword,15,,True,beneficios_discapacidad.tramite_franquicia,beneficios_discapacidad.tramite_franquicia,beneficios discapacidad - tramite franquicia,beneficios_discapacidad,37,0.3333,1.0,0.8421,19279 | ley | nacional | rehabilitacion | servicio,"ley aplicable: Según lo que indica la ley 19279, debe realizar el trámite para verificar si se puede acceder a la franquicia impositiva proceso: La tramitación consiste en descargar los requisitos para realizar el mismo, junto con el formulario de solicitud..."
beneficio_discapacidad,beneficios,¿Cómo es el trámite por beneficio de discapacidad?,2,keyword,10,,False,beneficios_discapacidad.tramite_franquicia,beneficios_discapacidad.factura_proforma,beneficios discapacidad - factura proforma,beneficios_discapacidad,12,0.6667,0.4,0.0526,19279 | ley,"En el caso de aplicar el beneficio por discapacidad, CORADIR confecciona la factura proforma de acuerdo a los requerimientos de la ley 19279."
beneficio_discapacidad,beneficios,¿Cómo es el trámite por beneficio de discapacidad?,3,vector,,3,False,beneficios_discapacidad.tramite_franquicia,beneficios_discapacidad.resolucion_final,beneficios discapacidad - resolucion final,beneficios_discapacidad,17,0.3333,0.6,0.1316,nacional | rehabilitacion | servicio,"El Servicio Nacional de Rehabilitación finalmente emitirá el acto administrativo concediendo o denegando el beneficio, según corresponda en cada caso de la solicitud bajo examen"
agencia_san_luis,agencias,¿Tienen agencia oficial en San Luis?,1,keyword,15,,True,distribucion.agencias_oficiales_por_provincia.San Luis,distribucion.agencias_oficiales_por_provincia.San Luis,Agencias en San Luis,agencias,14,0.5,1.0,0.3243,0.6 | km | luis | ruta | san | sur,- nombre: CORADIR MOVILIDAD ciudad: SAN LUIS direccion: Ruta 3 Sur Km 0.6 San Luis Argentina
agencia_san_luis,agencias,¿Tienen agencia oficial en San Luis?,2,keyword,10,,False,distribucion.agencias_oficiales_por_provincia.San Luis,distribucion.agencias_oficiales_por_provincia.Santa Fe,Agencias en Santa Fe,agencias,133,0.25,0.5,0.8378,km | ruta | san,- nombre: Maquinarias Pyramiz SRL ciudad: ROSARIO direccion: Ruta 9 (autopista Buenos Aires-rosario) Km 280.5 (2126) - nombre: DE ROSSI MOTOS SRL ciudad: FRONTERA direccion: Calle 1 N°2105 - Localidad Frontera - Provincia Santa Fe - Cp2438 - nombre: Dellasa...
agencia_san_luis,agencias,¿Tienen agencia oficial en San Luis?,3,vector,,1,False,distribucion.agencias_oficiales_por_provincia.San Luis,contactos.direccion,contactos - direccion,contactos,8,0.5,1.0,0.1622,0.6 | km | luis | ruta | san | sur,Ruta 3 km 0.6 (Sur) – San Luis Capital (CP5700)
agencia_san_luis,agencias,¿Tienen agencia oficial en San Luis?,4,vector,,5,False,distribucion.agencias_oficiales_por_provincia.San Luis,preguntas_frecuentes.general[1],FAQ general - ¿Dónde se fabrican los vehículos eléctricos de Coradir?,preguntas_frecuentes,23,0.5,1.0,0.2162,0.6 | km | luis | ruta | san | sur,"Pregunta: ¿Dónde se fabrican los vehículos eléctricos de Coradir? Respuesta: Nuestros vehículos se fabrican en Argentina, principalmente en nuestra planta de San Luis ubicada en Ruta 3 km 0.6 (Sur), San Luis Capital."
carga_rapida,carga,¿Qué ventaja ofrece la carga rápida?,1,keyword,10,,True,infraestructura_carga.ecocarga.carga_rapida | preguntas_frecuentes.carga,preguntas_frecuentes.carga[2],FAQ carga - ¿Qué es la tecnología de carga rápida?,preguntas_frecuentes,23,0.5,1.0,0.6452,horas,"Pregunta: ¿Qué es la tecnología de carga rápida? Respuesta: Es una avanzada solución que reduce el tiempo de carga de 6-8 horas a aproximadamente 2 horas, brindando mayor comodidad y flexibilidad sin comprometer el rendimiento ni la autonomía del vehículo."
carga_rapida,carga,¿Qué ventaja ofrece la carga rápida?,2,keyword,7,,True,infraestructura_carga.ecocarga.carga_rapida | preguntas_frecuentes.carga,infraestructura_carga.ecocarga,infraestructura carga - ecocarga,infraestructura_carga,111,0.5,1.0,0.3871,horas,descripcion: CORADIR se complace en anunciar dos importantes avances que transformarán la experiencia de movilidad eléctrica en Argentina: expansión de infraestructura de carga y tecnología de carga rápida. carga rapida: beneficios: - Reducción de tiempo: D...
carga_rapida,carga,¿Qué ventaja ofrece la carga rápida?,3,vector,,5,False,infraestructura_carga.ecocarga.carga_rapida | preguntas_frecuentes.carga,preguntas_frecuentes.adquisicion[1],FAQ adquisicion - ¿Qué es eso de la entrega inmediata?,preguntas_frecuentes,19,0.0,0.0,0.0968,,"Pregunta: ¿Qué es eso de la entrega inmediata? Respuesta: Esta modalidad básicamente consiste en que el cliente puede comprar un vehículo y llevarlo al instante, sin necesidad de esperar la fabricación del mismo."
instalacion_carga,carga,¿Necesito una instalación especial para cargar un vehículo?,1,keyword,25,,True,preguntas_frecuentes.carga,preguntas_frecuentes.carga[0],FAQ carga - ¿Necesito una instalación especial para cargar mi vehículo?,preguntas_frecuentes,25,1.0,1.0,0.6154,20a | 220v,"Pregunta: ¿Necesito una instalación especial para cargar mi vehículo? Respuesta: No, nuestros vehículos pueden cargarse desde un enchufe doméstico convencional de 220V. Para los modelos de mayor autonomía (300 km), se recomienda un tomacorriente de 20A."
instalacion_carga,carga,¿Necesito una instalación especial para cargar un vehículo?,2,keyword,10,,False,preguntas_frecuentes.carga,preguntas_frecuentes.vehiculos[1],FAQ vehiculos - ¿Cuánto tiempo toma cargar completamente la batería?,preguntas_frecuentes,23,0.2,0.0,0.4872,,"Pregunta: ¿Cuánto tiempo toma cargar completamente la batería? Respuesta: Normalmente entre 7-8 horas para una carga completa en un enchufe convencional. Con la nueva tecnología de carga rápida, este tiempo se reduce significativamente a aproximadamente 2 h..."
instalacion_carga,carga,¿Necesito una instalación especial para cargar un vehículo?,3,vector,,3,True,preguntas_frecuentes.carga,preguntas_frecuentes.carga[1],FAQ carga - ¿Puedo realizar cargas parciales?,preguntas_frecuentes,18,0.0,0.0,0.1282,,"Pregunta: ¿Puedo realizar cargas parciales? Respuesta: Sí, todos nuestros vehículos admiten cargas parciales. No es necesario esperar a que la batería se agote completamente para recargarla."
instalacion_carga,carga,¿Necesito una instalación especial para cargar un vehículo?,4,vector,,5,True,preguntas_frecuentes.carga,preguntas_frecuentes.carga[2],FAQ carga - ¿Qué es la tecnología de carga rápida?,preguntas_frecuentes,23,0.2,0.0,0.2821,,"Pregunta: ¿Qué es la tecnología de carga rápida? Respuesta: Es una avanzada solución que reduce el tiempo de carga de 6-8 horas a aproximadamente 2 horas, brindando mayor comodidad y flexibilidad sin comprometer el rendimiento ni la autonomía del vehículo."
reserva_entrega,compra,¿Cómo funciona la reserva y la entrega inmediata?,1,keyword,11,,True,condiciones_compra_entrega.reserva_pago_inicial | condiciones_compra_entrega.entrega_inmediata,condiciones_compra_entrega.entrega_inmediata,condiciones compra entrega - entrega inmediata,condiciones_compra_entrega,23,0.25,1.0,0.5,200 | 72 | horas | usd,"proceso: Una vez realizada la reserva de USD 200, se asigna una unidad por 72 horas plazo pago: Dentro de las 72 horas se debe saldar la unidad, caso contrario la unidad será liberada"
reserva_entrega,compra,¿Cómo funciona la reserva y la entrega inmediata?,2,keyword,10,,False,condiciones_compra_entrega.reserva_pago_inicial | condiciones_compra_entrega.entrega_inmediata,preguntas_frecuentes.adquisicion[1],FAQ adquisicion - ¿Qué es eso de la entrega inmediata?,preguntas_frecuentes,19,0.5,0.0,0.1316,,"Pregunta: ¿Qué es eso de la entrega inmediata? Respuesta: Esta modalidad básicamente consiste en que el cliente puede comprar un vehículo y llevarlo al instante, sin necesidad de esperar la fabricación del mismo."
reserva_entrega,compra,¿Cómo funciona la reserva y la entrega inmediata?,3,vector,,5,True,condiciones_compra_entrega.reserva_pago_inicial | condiciones_compra_entrega.entrega_inmediata,condiciones_compra_entrega.reserva_pago_inicial,condiciones compra entrega - reserva pago inicial,condiciones_compra_entrega,44,0.25,0.5,0.3684,200 | usd,reserva: USD 200 para reservar la unidad plazo confirmacion: 30 días para confirmar la compra con el 20% de anticipo forma pago: Pagos en pesos a cambio oficial del cierre anterior al día del efectivo pago pagos adicionales: Se pueden realizar pagos adicion...
telefono_ventas,contacto,¿Cuál es el teléfono de ventas de movilidad eléctrica?,1,keyword,16,,True,contactos.telefono_movilidad_ventas,contactos.telefono_movilidad_ventas,contactos - telefono movilidad ventas,contactos,8,0.75,1.0,0.2667,0266 | 4305996,(0266) 4305996 (Se usa para llamar al área de ventas de movilidad eléctrica)
telefono_ventas,contacto,¿Cuál es el teléfono de ventas de movilidad eléctrica?,2,keyword,10,,False,contactos.telefono_movilidad_ventas,preguntas_frecuentes.general[0],FAQ general - ¿Qué es Coradir Movilidad Eléctrica?,preguntas_frecuentes,26,0.5,0.0,0.1,,"Pregunta: ¿Qué es Coradir Movilidad Eléctrica? Respuesta: Coradir Movilidad Eléctrica es una división de CORADIR S.A., empresa argentina líder en innovación tecnológica. Desde 2020, nos dedicamos al desarrollo y fabricación de vehículos eléctricos con tecno..."
telefono_ventas,contacto,¿Cuál es el teléfono de ventas de movilidad eléctrica?,3,vector,,3,False,contactos.telefono_movilidad_ventas,site_navigation.current_site,site navigation - current site,site_navigation,2,0.5,0.0,0.0667,,Movilidad Eléctrica
empresa_que_es_coradir_movilidad,empresa,¿Qué es Coradir Movilidad Eléctrica?,1,keyword,15,,True,preguntas_frecuentes.general[0] | empresa.descripcion,preguntas_frecuentes.general[0],FAQ general - ¿Qué es Coradir Movilidad Eléctrica?,preguntas_frecuentes,26,1.0,1.0,0.7143,2020 | coradir | s.a,"Pregunta: ¿Qué es Coradir Movilidad Eléctrica? Respuesta: Coradir Movilidad Eléctrica es una división de CORADIR S.A., empresa argentina líder en innovación tecnológica. Desde 2020, nos dedicamos al desarrollo y fabricación de vehículos eléctricos con tecno..."
empresa_que_es_coradir_movilidad,empresa,¿Qué es Coradir Movilidad Eléctrica?,2,keyword,11,,False,preguntas_frecuentes.general[0] | empresa.descripcion,sitios_web.movilidad_electrica,sitios web - movilidad electrica,sitios_web,2,0.0,0.0,0.0714,,https://movilidad.coradir.com.ar/
empresa_que_es_coradir_movilidad,empresa,¿Qué es Coradir Movilidad Eléctrica?,3,vector,,5,False,preguntas_frecuentes.general[0] | empresa.descripcion,sitios_web.energias_renovables,sitios web - energias renovables,sitios_web,2,0.0,0.0,0.0357,,https://energia.coradir.com.ar/
empresa_donde_se_fabrican,empresa,¿Dónde se fabrican los vehículos eléctricos de Coradir?,1,keyword,20,,True,preguntas_frecuentes.general[1] | empresa.plantas_fabricacion,preguntas_frecuentes.general[1],FAQ general - ¿Dónde se fabrican los vehículos eléctricos de Coradir?,preguntas_frecuentes,23,1.0,1.0,0.6,0.6 | argentina | km | luis | ruta | san,"Pregunta: ¿Dónde se fabrican los vehículos eléctricos de Coradir? Respuesta: Nuestros vehículos se fabrican en Argentina, principalmente en nuestra planta de San Luis ubicada en Ruta 3 km 0.6 (Sur), San Luis Capital."
empresa_donde_se_fabrican,empresa,¿Dónde se fabrican los vehículos eléctricos de Coradir?,2,keyword,15,,False,preguntas_frecuentes.general[1] | empresa.plantas_fabricacion,preguntas_frecuentes.vehiculos[0],FAQ vehiculos - ¿Cuál es la autonomía de los vehículos eléctricos de Coradir?,preguntas_frecuentes,22,0.75,0.1667,0.5667,km,"Pregunta: ¿Cuál es la autonomía de los vehículos eléctricos de Coradir? Respuesta: Dependiendo del modelo, ofrecemos versiones con autonomía de 70 km hasta 300 km. La autonomía varía según el modelo y tipo de batería."
empresa_donde_se_fabrican,empresa,¿Dónde se fabrican los vehículos eléctricos de Coradir?,3,vector,,3,False,preguntas_frecuentes.general[1] | empresa.plantas_fabricacion,preguntas_frecuentes.adquisicion[0],FAQ adquisicion - ¿Dónde puedo comprar un vehículo eléctrico Coradir?,preguntas_frecuentes,21,0.25,0.0,0.0667,,Pregunta: ¿Dónde puedo comprar un vehículo eléctrico Coradir? Respuesta: Puede adquirirlos en nuestras agencias oficiales distribuidas por todo el país. Consulte la lista completa en nuestro sitio web.
